TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
NYMT;8,94;8,95;-2,74;0,46;0,13;0;-171,57;-243,16;-3,88;-4,89;-1,01;0,12;6,65;0;-0,13;0;-16,9;-4,78;-8,43;0,28;0,71;0,02;-22,5;0;0;19,33;-3,27;0;817.210.764,00
NYMTM;20,55;9,58;-6,29;1,06;0,3;0;-171,57;-243,16;-8,92;-4,89;-1,01;0,12;15,3;0;-0,3;0;-16,9;-4,78;-8,43;0,28;0,71;0,02;-22,5;0;0;19,33;-3,27;0;817.210.764,00
NYMTN;18,31;10,92;-5,61;0,95;0,27;0;-171,57;-243,16;-7,94;-4,89;-1,01;0,12;13,63;0;-0,27;0;-16,9;-4,78;-8,43;0,28;0,71;0,02;-22,5;0;0;19,33;-3,27;0;817.210.764,00
NYMTO;25,06;0;-7,67;1,3;0,37;0;-171,57;-243,16;-10,87;-4,89;-1,01;0,12;18,65;0;-0,37;0;-16,9;-4,78;-8,43;0,28;0,71;0,02;-22,5;0;0;19,33;-3,27;0;817.210.764,00
NYMTP;25,32;0;-7,75;1,31;0,37;0;-171,57;-243,16;-10,99;-4,89;-1,01;0,12;18,85;0;-0,37;0;-16,9;-4,78;-8,43;0,28;0,71;0,02;-22,5;0;0;19,33;-3,27;0;817.210.764,00
O;61,38;4,85;46,63;1,41;0,82;93,23;51,86;26;23,38;33,73;10,35;0,62;12,13;0;-0,82;0;3,03;1,75;3,61;0,58;0,42;0,07;22,43;22,04;0;43,47;1,32;0;40.542.772.842,00
OFC;22,87;4,81;14,86;1,53;0,6;29,82;28,3;23,41;12,29;23,05;10,76;1,34;3,48;0;-0,6;0;10,29;4,06;5,29;0,4;0,6;0,17;3,82;21,07;0;14,96;1,54;0;2.571.091.140,00
OHI;27,04;9,91;14,84;1,76;0,67;98,24;76,22;48,61;9,46;16,91;7,45;1,38;7,21;0;-0,67;0;11,83;4,54;7,47;0,38;0,62;0,09;-0,67;53,76;0;15,41;1,82;0;6.334.595.904,00
OLP;22,28;8,08;11,13;1,49;0,6;83,18;83,82;45,74;6,07;11,19;5,12;1,25;5,09;0;-0,6;0;13,35;5,38;10,41;0,4;0,6;0,12;3,97;11,8;0;14,99;2;0;469.526.492,00
ONL;5,8;6,9;-3,35;0,34;0,21;70,44;-32,24;-47,1;-4,9;-12,43;-7,53;0,52;1,58;0;-0,21;0;-10,06;-6,24;-4,49;0,62;0,38;0,13;0;0;0;17,2;-1,73;0;328.506.200,00
OPI;12,22;18;-97,14;0,43;0,15;84,69;18,25;-1,1;5,87;29,8;23,93;1,75;1,07;0;-0,15;0;-0,44;-0,15;2,64;0,35;0,65;0,14;11,86;0;0;28,55;-0,13;0;593.453.302,00
OPINI;25,04;0;-199,06;0,88;0,31;84,69;18,25;-1,1;12,02;29,8;23,93;1,75;2,19;0;-0,31;0;-0,44;-0,15;2,64;0,35;0,65;0,14;11,86;0;0;28,55;-0,13;0;593.453.302,00
OPINL;16,72;9,53;-132,92;0,59;0,2;84,69;18,25;-1,1;8,03;29,8;23,93;1,75;1,47;0;-0,2;0;-0,44;-0,15;2,64;0,35;0,65;0,14;11,86;0;0;28,55;-0,13;0;593.453.302,00
ORC;9,97;13,49;-1,51;0,89;0,1;0;0;0;-1,98;17,18;19,16;-8,59;0;0;-0,1;0;-58,9;-6,69;-44,12;0,11;0,89;0;0;0;0;11,23;-6,61;0;389.646.543,00
OUT;15,06;7,97;16,8;2,03;0,41;48,57;16,21;8,35;8,65;17,75;9,1;2,13;1,4;-15,41;-0,44;0,71;12,07;2,47;7,16;0,2;0,78;0,3;3,11;3,29;0;7,43;0,9;0;2.484.609.342,00
PCH;48,99;5,57;11,69;1,72;1,1;39,37;32,06;25,09;9,15;10,76;1,61;0,3;2,93;11,77;-1,27;3,37;14,75;9,4;10,96;0,64;0,36;0,37;14,42;31,03;0;28,4;4,19;0;3.903.655.473,00
PEAK;20,74;5,79;22,78;1,7;0,72;100;33,37;24,43;16,68;26,04;9,37;0,96;5,56;0;-0,72;0;7,48;3,16;5,14;0,42;0,57;0,13;2,6;3,86;0;12,17;0,91;0;11.340.269.050,00
PEB;13,2;0,3;-15,14;0,56;0,27;36,53;1,1;-7,89;108,8;261,58;152,78;0,78;1,19;-0,6;-0,28;0,08;-3,67;-1,79;0,28;0,49;0,51;0,23;12,59;0;0;23,79;-0,87;0;1.662.972.960,00
PEI;2,45;0;-0,09;-0,17;0,01;56,71;-5,82;-47,01;-0,75;-100,37;-99,61;0;0,04;0;-0,01;0;-178,73;-7,49;-1,03;-0,04;1,04;0,16;-5,81;0;0;-14,72;-26,31;0;13.155.275,00
PGRE;4,3;7,21;-40,12;0,26;0,11;100;16,06;-3,14;7,85;36,35;28,51;0,94;1,26;0;-0,11;0;-0,65;-0,28;1,56;0,42;0,58;0,09;0,59;0;0;16,56;-0,11;0;933.025.180,00
PINE;15,81;6,93;7,48;0,85;0,39;100;96,22;65,75;5,11;10,98;5,88;0,98;4,92;0;-0,39;0;11,36;5,18;8,2;0,46;0,54;0,08;0;0;0;18,61;2,11;0;222.212.712,00
PK;11,54;2,43;15,82;0,59;0,26;65,73;16,79;6,48;6,1;14,86;8,76;0,85;1,02;3,35;-0,3;3,12;3,73;1,66;4,69;0,45;0,55;0,26;-2,17;-42,71;0;19,54;0,73;0;2.562.702.802,00
PLD;116,03;2,79;31,9;2,01;1,22;79,82;66,96;56,23;26,79;32,69;5,9;0,44;17,94;0;-1,22;0;6,31;3,82;5,01;0,61;0,39;0,07;17,94;15,43;0;57,65;3,64;0;107.145.466.870,00
PLYM;20,53;4,29;-52,32;1,88;0,58;69,16;8,24;-9,2;58,42;116,98;58,56;1,88;4,81;0;-0,58;0;-3,59;-1,11;1,09;0,31;0,66;0,12;49,21;0;0;10,95;-0,39;0;883.424.377,00
